pais_id,pais,provincia_id,provincia,departamento,localidad,rubro,productos,categoria_id,categoria_desc,Certificadora_id,certificadora_deno,razón social,establecimiento
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,FRUTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,HORTICULTURA,ARANDANO,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,FRUTICULTURA,MORA,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,HORTICULTURA,MORA,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,FRUTICULTURA,CIRUELA,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,HORTICULTURA,CIRUELA,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,FRUTICULTURA,DURAZNO,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,SAN PEDRO,RIO TALA,HORTICULTURA,DURAZNO,1,Productores,2,OIA S.A.,BUENA TIERRA SRL.,SANTA LUCIA
32,ARGENTINA,6,BUENOS AIRES,LUJAN,INDEFINIDA,AGRICULTURA,ARANDANOS,1,Productores,4,Food Safety S.A.,CHACRA RUMFE SRL,CHACRA RUMFE
32,ARGENTINA,6,BUENOS AIRES,LA PLATA,INDEFINIDA,HORTICULTURA,HORTALIZAS,1,Productores,4,Food Safety S.A.,CIDEL ORGANICA S.R.L.,QUINTA 462
32,ARGENTINA,6,BUENOS AIRES,LA PLATA,INDEFINIDA,HORTICULTURA,HORTICULTURA: HORTALIZAS DE RAIZ,1,Productores,4,Food Safety S.A.,CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2
32,ARGENTINA,6,BUENOS AIRES,LA PLATA,INDEFINIDA,HORTICULTURA,HOJA,1,Productores,4,Food Safety S.A.,CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2
32,ARGENTINA,6,BUENOS AIRES,LA PLATA,INDEFINIDA,HORTICULTURA,FRUTOS,1,Productores,4,Food Safety S.A.,CIDEL ORGANICA SRL,LA ANUNCIACION QUINTA 2
32,ARGENTINA,6,BUENOS AIRES,CAÑUELAS,INDEFINIDA,GANADERIA,HUEVOS,1,Productores,2,OIA S.A.,COOPERATIVA GRANJERA ENTRERIANA DE CHACRAS ORGANICAS LTDA.,EL SEÑUELO
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,AVENA,1,Productores,1,Argencert S.R.L.,"CORDOBA, MIGUEL ANGEL",EL 48
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,1,Argencert S.R.L.,"CORDOBA, MIGUEL ANGEL",EL 48
32,ARGENTINA,6,BUENOS AIRES,GENERAL PUEYRREDON,INDEFINIDA,FRUTICULTURA,KIWI,1,Productores,1,Argencert S.R.L.,COSUFRUTOS SA,PUENTE VIEJO
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,CEREALES,1,Productores,4,Food Safety S.A.,DON ALEJO SA,LAUQUEN
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,CEREALES,1,Productores,4,Food Safety S.A.,DON ALEJO SA,LA TAPERA
32,ARGENTINA,6,BUENOS AIRES,CORONEL PRINGLES,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,2,OIA S.A.,DON JACINTO SAAYC,PILLAHUINCO
32,ARGENTINA,6,BUENOS AIRES,CORONEL PRINGLES,INDEFINIDA,AGRICULTURA,CENTENO,1,Productores,2,OIA S.A.,DON JACINTO SAAYC,PILLAHUINCO
32,ARGENTINA,6,BUENOS AIRES,CORONEL PRINGLES,INDEFINIDA,AGRICULTURA,AVENA,1,Productores,2,OIA S.A.,DON JACINTO SAAYC,PILLAHUINCO
32,ARGENTINA,6,BUENOS AIRES,CORONEL PRINGLES,INDEFINIDA,AGRICULTURA,CEBADA,1,Productores,2,OIA S.A.,DON JACINTO SAAYC,PILLAHUINCO
32,ARGENTINA,6,BUENOS AIRES,CORONEL PRINGLES,INDEFINIDA,AGRICULTURA,INCULTO,1,Productores,2,OIA S.A.,DON JACINTO SAAYC,PILLAHUINCO
32,ARGENTINA,6,BUENOS AIRES,CORONEL PRINGLES,INDEFINIDA,AGRICULTURA,INCULTO,1,Productores,2,OIA S.A.,DON JACINTO SAAYC,PILLAHUINCO
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,CEREALES,1,Productores,4,Food Safety S.A.,EBERLING FELICIANO,LA AVENTURA
32,ARGENTINA,6,BUENOS AIRES,CARMEN DE PATAGONES,INDEFINIDA,AGRICULTURA,CEREALES,1,Productores,4,Food Safety S.A.,EBERLING FELICIANO,LA QUEBRADA
32,ARGENTINA,6,BUENOS AIRES,ADOLFO ALSINA,INDEFINIDA,AGRICULTURA,MAIZ,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA UNION
32,ARGENTINA,6,BUENOS AIRES,ADOLFO ALSINA,INDEFINIDA,AGRICULTURA,SOJA,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA UNION
32,ARGENTINA,6,BUENOS AIRES,ADOLFO ALSINA,INDEFINIDA,AGRICULTURA,GIRASOL,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA UNION
32,ARGENTINA,6,BUENOS AIRES,ADOLFO ALSINA,INDEFINIDA,AGRICULTURA,LINO,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA UNION
32,ARGENTINA,6,BUENOS AIRES,ADOLFO ALSINA,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA UNION
32,ARGENTINA,6,BUENOS AIRES,GUAMINI,INDEFINIDA,AGRICULTURA,MAIZ,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA ELVIRA
32,ARGENTINA,6,BUENOS AIRES,GUAMINI,INDEFINIDA,AGRICULTURA,LINO,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA ELVIRA
32,ARGENTINA,6,BUENOS AIRES,GUAMINI,INDEFINIDA,AGRICULTURA,TRIGO,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA ELVIRA
32,ARGENTINA,6,BUENOS AIRES,GUAMINI,INDEFINIDA,AGRICULTURA,GIRASOL,1,Productores,3,Letis S.A.,EDCO GRAINS S.A.,LA ELVIRA
32,ARGENTINA,6,BUENOS AIRES,DARREGUEIRA,INDEFINIDA,AGRICULTURA,AVENA,1,Productores,2,OIA S.A.,EL CASERIO ORGANICO S.H.,MARIA ALBINA I  Y LA AMELIA
